% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
69.6 1 56.03 93 0
69.6 2 55.98 92.9 0
69.6 3 56.05 93.05 0
69.6 4 55.95 92.85 0
69.6 5 56 100.95 0
69.6 6 56.03 101 0
69.6 7 55.98 100.9 0
69.6 8 56.05 101.05 0
69.6 9 55.95 100.85 0
70.8 0 56 92.95 0
70.8 1 56.03 93 0
70.8 2 55.98 92.9 0
70.8 3 56.05 93.05 0
70.8 4 55.95 92.85 0
70.8 5 56 100.95 0
70.8 6 56.03 101 0
70.8 7 55.98 100.9 0
70.8 8 56.05 101.05 0
70.8 9 55.95 100.85 0
72 0 56 92.95 0
72 1 56.03 93 0
72 2 55.98 92.9 0
72 3 56.05 93.05 0
72 4 55.95 92.85 0
72 5 56 100.95 0
72 6 56.03 101 0
72 7 55.98 100.9 0
72 8 56.05 101.05 0
72 9 55.95 100.85 0
73.2 0 56 92.95 0
73.2 1 56.03 93 0
73.2 2 55.98 92.9 0
73.2 3 56.05 93.05 0
73.2 4 55.95 92.85 0
73.2 5 56 100.95 0
73.2 6 56.03 101 0
73.2 7 55.98 100.9 0
73.2 8 56.05 101.05 0
73.2 9 55.95 100.85 0
74.4 0 56 92.95 0
74.4 1 56.03 93 0
74.4 2 55.98 92.9 0
74.4 3 56.05 93.05 0
74.4 4 55.95 92.85 0
74.4 5 56 100.95 0
74.4 6 56.03 101 0
74.4 7 55.98 100.9 0
74.4 8 56.05 101.05 0
74.4 9 55.95 100.85 0
75.6 0 56 92.95 0
75.6 1 56.03 93 0
75.6 2 55.98 92.9 0
75.6 3 56.05 93.05 0
75.6 4 55.95 92.85 0
75.6 5 56 100.95 0
75.6 6 56.03 101 0
75.6 7 55.98 100.9 0
75.6 8 56.05 101.05 0
75.6 9 55.95 100.85 0
76.8 0 56 92.95 0
76.8 1 56.03 93 0
76.8 2 55.98 92.9 0
76.8 3 56.05 93.05 0
76.8 4 55.95 92.85 0
76.8 5 56 100.95 0
76.8 6 56.03 101 0
76.8 7 55.98 100.9 0
76.8 8 56.05 101.05 0
76.8 9 55.95 100.85 0
78 0 56 92.95 0
78 1 56.03 93 0
78 2 55.98 92.9 0
78 3 56.05 93.05 0
78 4 55.95 92.85 0
78 5 56 100.95 0
78 6 56.03 101 0
78 7 55.98 100.9 0
78 8 56.05 101.05 0
78 9 55.95 100.85 0
79.2 0 56 92.95 0
79.2 1 56.03 93 0
79.2 2 55.98 92.9 0
79.2 3 56.05 93.05 0
79.2 4 55.95 92.85 0
79.2 5 56 100.95 0
79.2 6 56.03 101 0
79.2 7 55.98 100.9 0
79.2 8 56.05 101.05 0
79.2 9 55.95 100.85 0
80.4 0 56 92.95 0
80.4 1 56.03 93 0
80.4 2 55.98 92.9 0
80.4 3 56.05 93.05 0
80.4 4 55.95 92.85 0
80.4 5 56 100.95 0
80.4 6 56.03 101 0
80.4 7 55.98 100.9 0
80.4 8 56.05 101.05 0
80.4 9 55.95 100.85 0
81.6 0 56 92.95 0
81.6 1 56.03 93 0
81.6 2 55.98 92.9 0
81.6 3 56.05 93.05 0
81.6 4 55.95 92.85 0
81.6 5 56 100.95 0
81.6 6 56.03 101 0
81.6 7 55.98 100.9 0
81.6 8 56.05 101.05 0
81.6 9 55.95 100.85 0
82.8 0 56 92.95 0
82.8 1 56.03 93 0
82.8 2 55.98 92.9 0
82.8 3 56.05 93.05 0
82.8 4 55.95 92.85 0
82.8 5 56 100.95 0
82.8 6 56.03 101 0
82.8 7 55.98 100.9 0
82.8 8 56.05 101.05 0
82.8 9 55.95 100.85 0
84 0 56 92.95 0
84 1 56.03 93 0
84 2 55.98 92.9 0
84 3 56.05 93.05 0
84 4 55.95 92.85 0
84 5 56 100.95 0
84 6 56.03 101 0
84 7 55.98 100.9 0
84 8 56.05 101.05 0
84 9 55.95 100.85 0
85.2 0 56 92.95 0
85.2 1 56.03 93 0
85.2 2 55.98 92.9 0
85.2 3 56.05 93.05 0
85.2 4 55.95 92.85 0
85.2 5 56 100.95 0
85.2 6 56.03 101 0
85.2 7 55.98 100.9 0
85.2 8 56.05 101.05 0
85.2 9 55.95 100.85 0
86.4 0 56 92.95 0
86.4 1 56.03 93 0
86.4 2 55.98 92.9 0
86.4 3 56.05 93.05 0
86.4 4 55.95 92.85 0
86.4 5 56 100.95 0
86.4 6 56.03 101 0
86.4 7 55.98 100.9 0
86.4 8 56.05 101.05 0
86.4 9 55.95 100.85 0
87.6 0 56 92.95 0
87.6 1 56.03 93 0
87.6 2 55.98 92.9 0
87.6 3 56.05 93.05 0
87.6 4 55.95 92.85 0
87.6 5 56 100.95 0
87.6 6 56.03 101 0
87.6 7 55.98 100.9 0
87.6 8 56.05 101.05 0
87.6 9 55.95 100.85 0
88.8 0 56 92.95 0
88.8 1 56.03 93 0
88.8 2 55.98 92.9 0
88.8 3 56.05 93.05 0
88.8 4 55.95 92.85 0
88.8 5 56 100.95 0
88.8 6 56.03 101 0
88.8 7 55.98 100.9 0
88.8 8 56.05 101.05 0
88.8 9 55.95 100.85 0
90 0 56 92.95 0
90 1 56.03 93 0
90 2 55.98 92.9 0
90 3 56.05 93.05 0
90 4 55.95 92.85 0
90 5 56 100.95 0
90 6 56.03 101 0
90 7 55.98 100.9 0
90 8 56.05 101.05 0
90 9 55.95 100.85 0
91.2 0 56 92.95 0
91.2 1 56.03 93 0
91.2 2 55.98 92.9 0
91.2 3 56.05 93.05 0
91.2 4 55.95 92.85 0
91.2 5 56 100.95 0
91.2 6 56.03 101 0
91.2 7 55.98 100.9 0
91.2 8 56.05 101.05 0
91.2 9 55.95 100.85 0
92.4 0 56 92.95 0
92.4 1 56.03 93 0
92.4 2 55.98 92.9 0
92.4 3 56.05 93.05 0
92.4 4 55.95 92.85 0
92.4 5 56 100.95 0
92.4 6 56.03 101 0
92.4 7 55.98 100.9 0
92.4 8 56.05 101.05 0
92.4 9 55.95 100.85 0
93.6 0 56 92.95 0
93.6 1 56.03 93 0
93.6 2 55.98 92.9 0
93.6 3 56.05 93.05 0
93.6 4 55.95 92.85 0
93.6 5 56 100.95 0
93.6 6 56.03 101 0
93.6 7 55.98 100.9 0
93.6 8 56.05 101.05 0
93.6 9 55.95 100.85 0
94.8 0 56 92.95 0
94.8 1 56.03 93 0
94.8 2 55.98 92.9 0
94.8 3 56.05 93.05 0
94.8 4 55.95 92.85 0
94.8 5 56 100.95 0
94.8 6 56.03 101 0
94.8 7 55.98 100.9 0
94.8 8 56.05 101.05 0
94.8 9 55.95 100.85 0
96 0 56 92.95 0
96 1 56.03 93 0
96 2 55.98 92.9 0
96 3 56.05 93.05 0
96 4 55.95 92.85 0
96 5 56 100.95 0
96 6 56.03 101 0
96 7 55.98 100.9 0
96 8 56.05 101.05 0
96 9 55.95 100.85 0
97.2 0 56 92.95 0
97.2 1 56.03 93 0
97.2 2 55.98 92.9 0
97.2 3 56.05 93.05 0
97.2 4 55.95 92.85 0
97.2 5 56 100.95 0
97.2 6 56.03 101 0
97.2 7 55.98 100.9 0
97.2 8 56.05 101.05 0
97.2 9 55.95 100.85 0
98.4 0 56 92.95 0
98.4 1 56.03 93 0
98.4 2 55.98 92.9 0
98.4 3 56.05 93.05 0
98.4 4 55.95 92.85 0
98.4 5 56 100.95 0
98.4 6 56.03 101 0
98.4 7 55.98 100.9 0
98.4 8 56.05 101.05 0
98.4 9 55.95 100.85 0
99.6 0 56 92.95 0
99.6 1 56.03 93 0
99.6 2 55.98 92.9 0
99.6 3 56.05 93.05 0
99.6 4 55.95 92.85 0
99.6 5 56 100.95 0
99.6 6 56.03 101 0
99.6 7 55.98 100.9 0
99.6 8 56.05 101.05 0
99.6 9 55.95 100.85 0
100.8 0 56 92.95 0
100.8 1 56.03 93 0
100.8 2 55.98 92.9 0
100.8 3 56.05 93.05 0
100.8 4 55.95 92.85 0
100.8 5 56 100.95 0
100.8 6 56.03 101 0
100.8 7 55.98 100.9 0
100.8 8 56.05 101.05 0
100.8 9 55.95 100.85 0
102 0 56 92.95 0
102 1 56.03 93 0
102 2 55.98 92.9 0
102 3 56.05 93.05 0
102 4 55.95 92.85 0
102 5 56 100.95 0
102 6 56.03 101 0
102 7 55.98 100.9 0
102 8 56.05 101.05 0
102 9 55.95 100.85 0
103.2 0 56 92.95 0
103.2 1 56.03 93 0
103.2 2 55.98 92.9 0
103.2 3 56.05 93.05 0
103.2 4 55.95 92.85 0
103.2 5 56 100.95 0
103.2 6 56.03 101 0
103.2 7 55.98 100.9 0
103.2 8 56.05 101.05 0
103.2 9 55.95 100.85 0
104.4 0 56 92.95 0
104.4 1 56.03 93 0
104.4 2 55.98 92.9 0
104.4 3 56.05 93.05 0
104.4 4 55.95 92.85 0
104.4 5 56 100.95 0
104.4 6 56.03 101 0
104.4 7 55.98 100.9 0
104.4 8 56.05 101.05 0
