% output_type: 'OUTPUT_TYPE_TABLE'
% source: 'sat-handover-hap'
% count: 322
% node_id role dev_id device_type ip_address
7 GW 12 ns3::SatNetDevice 40.228.0.1
7 GW 13 ns3::SatNetDevice 40.229.0.1
7 GW 14 ns3::SatNetDevice 40.230.0.1
7 GW 15 ns3::SatNetDevice 40.231.0.1
7 GW 16 ns3::SatNetDevice 40.232.0.1
7 GW 17 ns3::SatNetDevice 40.233.0.1
7 GW 18 ns3::SatNetDevice 40.234.0.1
7 GW 19 ns3::SatNetDevice 40.235.0.1
7 GW 20 ns3::SatNetDevice 40.236.0.1
7 GW 21 ns3::SatNetDevice 40.237.0.1
7 GW 22 ns3::SatNetDevice 40.238.0.1
7 GW 23 ns3::SatNetDevice 40.239.0.1
7 GW 24 ns3::SatNetDevice 40.240.0.1
7 GW 25 ns3::SatNetDevice 40.241.0.1
7 GW 26 ns3::SatNetDevice 40.242.0.1
7 GW 27 ns3::SatNetDevice 40.243.0.1
7 GW 28 ns3::SatNetDevice 40.244.0.1
7 GW 29 ns3::SatNetDevice 40.245.0.1
7 GW 30 ns3::SatNetDevice 40.246.0.1
7 GW 31 ns3::SatNetDevice 40.247.0.1
7 GW 32 ns3::SatNetDevice 40.248.0.1
7 GW 33 ns3::SatNetDevice 40.249.0.1
7 GW 34 ns3::SatNetDevice 40.250.0.1
7 GW 35 ns3::SatNetDevice 40.251.0.1
7 GW 36 ns3::SatNetDevice 40.252.0.1
7 GW 37 ns3::SatNetDevice 40.253.0.1
7 GW 38 ns3::SatNetDevice 40.254.0.1
7 GW 39 ns3::SatNetDevice 40.255.0.1
7 GW 40 ns3::SatNetDevice 41.0.0.1
7 GW 41 ns3::SatNetDevice 41.1.0.1
7 GW 42 ns3::SatNetDevice 41.2.0.1
7 GW 43 ns3::SatNetDevice 41.3.0.1
7 GW 44 ns3::SatNetDevice 41.4.0.1
7 GW 45 ns3::SatNetDevice 41.5.0.1
7 GW 46 ns3::SatNetDevice 41.6.0.1
7 GW 47 ns3::SatNetDevice 41.7.0.1
7 GW 48 ns3::SatNetDevice 41.8.0.1
7 GW 49 ns3::SatNetDevice 41.9.0.1
7 GW 50 ns3::SatNetDevice 41.10.0.1
7 GW 51 ns3::SatNetDevice 41.11.0.1
7 GW 52 ns3::SatNetDevice 41.12.0.1
7 GW 53 ns3::SatNetDevice 41.13.0.1
7 GW 54 ns3::SatNetDevice 41.14.0.1
7 GW 55 ns3::SatNetDevice 41.15.0.1
7 GW 56 ns3::SatNetDevice 41.16.0.1
7 GW 57 ns3::SatNetDevice 41.17.0.1
7 GW 58 ns3::SatNetDevice 41.18.0.1
7 GW 59 ns3::SatNetDevice 41.19.0.1
7 GW 60 ns3::SatNetDevice 41.20.0.1
7 GW 61 ns3::SatNetDevice 41.21.0.1
7 GW 62 ns3::SatNetDevice 41.22.0.1
7 GW 63 ns3::SatNetDevice 41.23.0.1
7 GW 64 ns3::SatNetDevice 41.24.0.1
7 GW 65 ns3::SatNetDevice 41.25.0.1
7 GW 66 ns3::SatNetDevice 41.26.0.1
7 GW 67 ns3::SatNetDevice 41.27.0.1
7 GW 68 ns3::SatNetDevice 41.28.0.1
7 GW 69 ns3::SatNetDevice 41.29.0.1
7 GW 70 ns3::SatNetDevice 41.30.0.1
7 GW 71 ns3::SatNetDevice 41.31.0.1
7 GW 72 ns3::SatNetDevice 41.32.0.1
7 GW 73 ns3::SatSimpleNetDevice 90.4.0.1
0 SAT 0 ns3::SatOrbiterNetDeviceDvb N/A
0 SAT 1 ns3::PointToPointIslNetDevice N/A
1 SAT 0 ns3::SatOrbiterNetDeviceDvb N/A
1 SAT 1 ns3::PointToPointIslNetDevice N/A
1 SAT 2 ns3::PointToPointIslNetDevice N/A
2 SAT 0 ns3::SatOrbiterNetDeviceDvb N/A
2 SAT 1 ns3::PointToPointIslNetDevice N/A
2 SAT 2 ns3::PointToPointIslNetDevice N/A
3 SAT 0 ns3::SatOrbiterNetDeviceDvb N/A
3 SAT 1 ns3::PointToPointIslNetDevice N/A
8 UT 1 ns3::CsmaNetDevice 10.1.0.1
8 UT 2 ns3::SatNetDevice 40.51.0.2
9 UT 1 ns3::CsmaNetDevice 10.2.0.1
9 UT 2 ns3::SatNetDevice 40.51.0.3
10 UT 1 ns3::CsmaNetDevice 10.3.0.1
10 UT 2 ns3::SatNetDevice 40.51.0.4
11 UT 1 ns3::CsmaNetDevice 10.4.0.1
11 UT 2 ns3::SatNetDevice 40.51.0.5
12 UT 1 ns3::CsmaNetDevice 10.5.0.1
12 UT 2 ns3::SatNetDevice 40.51.0.6
18 UT 1 ns3::CsmaNetDevice 10.6.0.1
18 UT 2 ns3::SatNetDevice 40.69.0.2
19 UT 1 ns3::CsmaNetDevice 10.7.0.1
19 UT 2 ns3::SatNetDevice 40.69.0.3
20 UT 1 ns3::CsmaNetDevice 10.8.0.1
20 UT 2 ns3::SatNetDevice 40.69.0.4
21 UT 1 ns3::CsmaNetDevice 10.9.0.1
21 UT 2 ns3::SatNetDevice 40.69.0.5
22 UT 1 ns3::CsmaNetDevice 10.10.0.1
22 UT 2 ns3::SatNetDevice 40.69.0.6
