% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
19 3 18 115 0
19 4 15 120 0
20 0 20 110 0
20 1 21 111 0
20 2 19 110 0
20 3 18 115 0
20 4 15 120 0
21 0 20 110 0
21 1 21 111 0
21 2 19 110 0
21 3 18 115 0
21 4 15 120 0
22 0 20 110 0
22 1 21 111 0
22 2 19 110 0
22 3 18 115 0
22 4 15 120 0
23 0 20 110 0
23 1 21 111 0
23 2 19 110 0
23 3 18 115 0
23 4 15 120 0
24 0 20 110 0
24 1 21 111 0
24 2 19 110 0
24 3 18 115 0
24 4 15 120 0
25 0 20 110 0
25 1 21 111 0
25 2 19 110 0
25 3 18 115 0
25 4 15 120 0
26 0 20 110 0
26 1 21 111 0
26 2 19 110 0
26 3 18 115 0
26 4 15 120 0
27 0 20 110 0
27 1 21 111 0
27 2 19 110 0
27 3 18 115 0
27 4 15 120 0
28 0 20 110 0
28 1 21 111 0
28 2 19 110 0
28 3 18 115 0
28 4 15 120 0
29 0 20 110 0
29 1 21 111 0
29 2 19 110 0
29 3 18 115 0
29 4 15 120 0
30 0 20 110 0
30 1 21 111 0
30 2 19 110 0
30 3 18 115 0
30 4 15 120 0
31 0 20 110 0
31 1 21 111 0
31 2 19 110 0
31 3 18 115 0
31 4 15 120 0
32 0 20 110 0
32 1 21 111 0
32 2 19 110 0
32 3 18 115 0
32 4 15 120 0
33 0 20 110 0
33 1 21 111 0
33 2 19 110 0
33 3 18 115 0
33 4 15 120 0
34 0 20 110 0
34 1 21 111 0
34 2 19 110 0
34 3 18 115 0
34 4 15 120 0
35 0 20 110 0
35 1 21 111 0
35 2 19 110 0
35 3 18 115 0
35 4 15 120 0
36 0 20 110 0
36 1 21 111 0
36 2 19 110 0
36 3 18 115 0
36 4 15 120 0
37 0 20 110 0
37 1 21 111 0
37 2 19 110 0
37 3 18 115 0
37 4 15 120 0
38 0 20 110 0
38 1 21 111 0
38 2 19 110 0
38 3 18 115 0
38 4 15 120 0
39 0 20 110 0
39 1 21 111 0
39 2 19 110 0
39 3 18 115 0
39 4 15 120 0
40 0 20 110 0
40 1 21 111 0
40 2 19 110 0
40 3 18 115 0
40 4 15 120 0
41 0 20 110 0
41 1 21 111 0
41 2 19 110 0
41 3 18 115 0
41 4 15 120 0
42 0 20 110 0
42 1 21 111 0
42 2 19 110 0
