# time lat lon alt
236.000 56.032625358 92.960542598 20000.000
237.000 56.032708394 92.960480816 20000.000
238.000 56.032791372 92.960418787 20000.000
239.000 56.032874292 92.960356510 20000.000
240.000 56.032957154 92.960293986 20000.000
241.000 56.033039958 92.960231215 20000.000
242.000 56.033122703 92.960168197 20000.000
243.000 56.033205389 92.960104933 20000.000
244.000 56.033288017 92.960041422 20000.000
245.000 56.033370584 92.959977665 20000.000
246.000 56.033453093 92.959913662 20000.000
247.000 56.033535542 92.959849413 20000.000
248.000 56.033617930 92.959784919 20000.000
249.000 56.033700259 92.959720178 20000.000
250.000 56.033782527 92.959655193 20000.000
251.000 56.033864734 92.959589962 20000.000
252.000 56.033946880 92.959524486 20000.000
253.000 56.034028966 92.959458766 20000.000
254.000 56.034110990 92.959392800 20000.000
255.000 56.034192952 92.959326591 20000.000
256.000 56.034274853 92.959260137 20000.000
257.000 56.034356691 92.959193439 20000.000
258.000 56.034438468 92.959126497 20000.000
259.000 56.034520182 92.959059311 20000.000
260.000 56.034601833 92.958991882 20000.000
261.000 56.034683421 92.958924209 20000.000
262.000 56.034764946 92.958856294 20000.000
263.000 56.034846408 92.958788135 20000.000
264.000 56.034927806 92.958719733 20000.000
265.000 56.035009140 92.958651089 20000.000
266.000 56.035090410 92.958582203 20000.000
267.000 56.035171616 92.958513074 20000.000
268.000 56.035252757 92.958443704 20000.000
269.000 56.035333834 92.958374091 20000.000
270.000 56.035414845 92.958304237 20000.000
271.000 56.035495792 92.958234142 20000.000
272.000 56.035576673 92.958163805 20000.000
273.000 56.035657488 92.958093227 20000.000
274.000 56.035738238 92.958022409 20000.000
275.000 56.035818921 92.957951349 20000.000
276.000 56.035899538 92.957880050 20000.000
277.000 56.035980089 92.957808510 20000.000
278.000 56.036060572 92.957736729 20000.000
279.000 56.036140989 92.957664710 20000.000
280.000 56.036221339 92.957592450 20000.000
281.000 56.036301621 92.957519951 20000.000
282.000 56.036381835 92.957447213 20000.000
283.000 56.036461982 92.957374235 20000.000
284.000 56.036542060 92.957301019 20000.000
285.000 56.036622070 92.957227564 20000.000
286.000 56.036702012 92.957153871 20000.000
287.000 56.036781885 92.957079940 20000.000
288.000 56.036861689 92.957005770 20000.000
289.000 56.036941423 92.956931363 20000.000
290.000 56.037021088 92.956856718 20000.000
